agency_cd	site_no	datetime	tz_cd	Height	219428_00065_cd
USGS	12213100	2/24/2022 19:00	PST	5.16	A
USGS	12213100	2/24/2022 19:15	PST	5.16	A
USGS	12213100	2/24/2022 19:30	PST	5.15	A
USGS	12213100	2/24/2022 19:45	PST	5.15	A
USGS	12213100	2/24/2022 20:00	PST	5.15	A
USGS	12213100	2/24/2022 20:15	PST	5.15	A
USGS	12213100	2/24/2022 20:30	PST	5.14	A
USGS	12213100	2/24/2022 20:45	PST	5.15	A
USGS	12213100	2/24/2022 21:00	PST	5.15	A
USGS	12213100	2/24/2022 21:15	PST	5.15	A
USGS	12213100	2/24/2022 21:30	PST	5.14	A
USGS	12213100	2/24/2022 21:45	PST	5.14	A
USGS	12213100	2/24/2022 22:00	PST	5.14	A
USGS	12213100	2/24/2022 22:15	PST	5.15	A
USGS	12213100	2/24/2022 22:30	PST	5.14	A
USGS	12213100	2/24/2022 22:45	PST	5.14	A
USGS	12213100	2/24/2022 23:00	PST	5.13	A
USGS	12213100	2/24/2022 23:15	PST	5.14	A
USGS	12213100	2/24/2022 23:30	PST	5.13	A
USGS	12213100	2/24/2022 23:45	PST	5.13	A
USGS	12213100	2/25/2022 0:00	PST	5.13	A
USGS	12213100	2/25/2022 0:15	PST	5.13	A
USGS	12213100	2/25/2022 0:30	PST	5.13	A
USGS	12213100	2/25/2022 0:45	PST	5.13	A
USGS	12213100	2/25/2022 1:00	PST	5.13	A
USGS	12213100	2/25/2022 1:15	PST	5.13	A
USGS	12213100	2/25/2022 1:30	PST	5.13	A
USGS	12213100	2/25/2022 1:45	PST	5.13	A
USGS	12213100	2/25/2022 2:00	PST	5.13	A
USGS	12213100	2/25/2022 2:15	PST	5.13	A
USGS	12213100	2/25/2022 2:30	PST	5.13	A
USGS	12213100	2/25/2022 2:45	PST	5.13	A
USGS	12213100	2/25/2022 3:00	PST	5.13	A
USGS	12213100	2/25/2022 3:15	PST	5.13	A
USGS	12213100	2/25/2022 3:30	PST	5.12	A
USGS	12213100	2/25/2022 3:45	PST	5.13	A
USGS	12213100	2/25/2022 4:00	PST	5.13	A
USGS	12213100	2/25/2022 4:15	PST	5.13	A
USGS	12213100	2/25/2022 4:30	PST	5.13	A
USGS	12213100	2/25/2022 4:45	PST	5.13	A
USGS	12213100	2/25/2022 5:00	PST	5.13	A
USGS	12213100	2/25/2022 5:15	PST	5.13	A
